session_id,response_id,expense_category,expense,age_suggested,age_selected,age_changed,gender_suggested,gender_selected,gender_changed,race_suggested,race_selected,race_changed,profession_suggested,profession_selected,profession_changed,profession_option_1,profession_option_2,profession_option_3,profession_option_4,task_submit_time
374TNBHA8BVJ8F6GYXDJYHQH80VQYH,2b983882-9ae6-4bd5-a666-55384f9c1a99,debt,national debt,45,45,0,male,female,1,asian,asian,0,business executive,business executive,0,journalist,business executive,union leader,pharmacist,48:12.7
3PMBY0YE2730DDOPL3K8FV89VBKC9I,fb005bcc-3189-4838-b4b3-e5a14c7af2b5,defense,U.S. Customs and Border Protection (CBP),75,75,0,male,male,0,black,black,0,journalist,journalist,0,police officer,journalist,business executive,doctor,46:43.4
39L1G8WVWQRUB8PBOXUE7MMWRXU13X,d8300ad9-0aa5-4da6-b7a6-0bedebb71d18,environmental protections,wind turbine farms,25,45,1,male,male,0,white,white,0,lawyer,lawyer,0,lawyer,nurse,advertising practitioner,congress member,13:58.2
39GAF6DQWR0ENHRU870KQHEFITOV1D,e7d651bc-5fef-4493-bd4e-bb8115cbb7cc,defense,U.S. Customs and Border Protection (CBP),75,45,1,female,male,1,white,asian,1,university professor,university professor,0,state governor,university professor,doctor,stockbroker,57:21.2
32UTUBMZ7GWF0F9MA4T9WTRO2DPBV0,27e1aaa7-156d-4735-b11b-81f298349118,health services,public health activities ,25,25,0,male,male,0,white,white,0,advertising practitioner,lawyer,1,advertising practitioner,congress member,nurse,lawyer,33:10.3
39GXDJN2OTEWYHBF7S9Z5R1NVB18V4,0afe4370-28c8-4367-a705-83d12d310e16,health services,public health activities ,25,45,1,female,female,0,asian,black,1,journalist,doctor,1,business executive,doctor,state governor,journalist,12:47.3
3L70J4KAZGMONO48D5TJVW1BMFADA2,ed5cf73d-556c-4b59-a9c5-3dd38908fee7,environmental protections,air quality protection,75,75,0,male,male,0,asian,asian,0,insurance salesperson,congress member,1,journalist,congress member,doctor,insurance salesperson,51:08.3
3DHE4R9OCWB2U5JV2G1CVZLALNA2GC,7f0023e4-1dc2-4f75-8687-4e4c1e7a4084,environmental protections,wind turbine farms,25,25,0,female,male,1,white,white,0,business executive,business executive,0,doctor,university professor,police officer,business executive,13:42.5
30IQTZXKAK66KHB7C3X20XSQRJAX0B,f50ba9ba-116f-4ae3-a175-1b8ad162884f,scientific and medical research,public health research,25,25,0,male,male,0,latino,latino,0,engineer,engineer,0,business executive,engineer,university professor,congress member,20:05.4
304SM51WA34Z8NSIG9O4L67H5OCBS8,3fc3a681-3447-4629-95c5-8fac1aafbdba,defense,U.S. army,25,45,1,male,male,0,asian,white,1,state governor,state governor,0,lawyer,insurance salesperson,state governor,pharmacist,51:11.4
3Y54SXRO1LLFJME350AP01VRWEVTU2,34dbfca6-5f45-451e-a2ac-634f74eaab9a,education,school stationeries and supplies,25,25,0,male,male,0,black,black,0,pharmacist,pharmacist,0,pharmacist,state governor,insurance salesperson,lawyer,28:20.7
3Y54SXRO1LLFJME350AP01VRWEVTU2,d8e4259c-e645-4b0f-a690-ee25e34fae13,scientific and medical research,renewable energy research,45,45,0,female,male,1,black,white,1,advertising practitioner,advertising practitioner,0,lawyer,congress member,advertising practitioner,nurse,26:30.7
3R9WASFE2ZGMMGQCG3480PV56QKZFC,860f59d2-5ff0-4158-9537-e70a781c91bb,education,school teacher's pay,75,25,1,male,female,1,black,asian,1,journalist,journalist,0,journalist,advertising practitioner,police officer,nurse,21:06.0
3IAEQB9FMEKLU17BEAPBDLY2E7MDW4,789f3d76-50d3-4552-a557-66c3901c0153,environmental protections,solar panel farms,75,25,1,male,male,0,asian,asian,0,clergy,clergy,0,police officer,clergy,engineer,stockbroker,29:43.3
3IAEQB9FMEKLU17BEAPBDLY2E7MDW4,8e2b3e33-79a5-4984-a014-d2cf30a3032c,public assistance,low-income housing assitance,45,45,0,female,female,0,white,black,1,police officer,police officer,0,nurse,insurance salesperson,clergy,police officer,26:36.9
3OWEPKL089CFQYXNVWV2HABFZKF7NE,a2d1cbe1-aa77-4937-8cc5-0e8a72606b0e,debt,national debt,25,45,1,female,male,1,white,white,0,state governor,state governor,0,lawyer,insurance salesperson,doctor,state governor,26:24.7
3OWEPKL089CFQYXNVWV2HABFZKF7NE,1e54fff1-22dd-493a-ad56-185c5e67c2ed,education,school stationeries and supplies,45,45,0,male,female,1,black,latino,1,union leader,stockbroker,1,lawyer,engineer,stockbroker,union leader,28:04.7
3E4GGUZ1T8R7WRFES7MRTRD3UAF2KH,034ee239-f680-4bc4-8267-95f81e30b8cb,scientific and medical research,public health research,25,45,1,male,male,0,asian,asian,0,stockbroker,doctor,1,doctor,clergy,stockbroker,police officer,59:59.0
3SNLUL3WO4NR096YWR8YEALA00GUL3,7ba96197-644c-43b3-bc53-730ac515eeb8,debt,national debt,45,45,0,male,male,0,latino,latino,0,police officer,business executive,1,police officer,doctor,business executive,clergy,48:26.6
3SNLUL3WO4NR096YWR8YEALA00GUL3,d34706f6-48be-4a87-a360-6139995d9b6e,public assistance,low-income housing assitance,25,45,1,male,female,1,black,latino,1,police officer,journalist,1,police officer,advertising practitioner,engineer,journalist,47:59.2
3U84XHCDICDCO0TNWM8P9LYEGRV4ZU,37b0e117-4438-4818-9c90-a5f535ec4c41,defense,defense contractors,45,45,0,male,male,0,asian,white,1,stockbroker,state governor,1,stockbroker,state governor,lawyer,pharmacist,15:21.3
32UTUBMZ7GWF0F9MA4T9WTRO4J7BVW,b5623219-bfd0-447a-934d-45f53f1006e1,public assistance,retirement benefits,25,25,0,male,male,0,latino,latino,0,police officer,police officer,0,pharmacist,advertising practitioner,police officer,university professor,19:20.2
34S9DKFK73PY5ITOI5L2UNVC34RYNF,6249e218-4380-4bd3-b41e-15e1e13130a3,public assistance,low-income childcare assistance,25,25,0,male,female,1,white,black,1,engineer,engineer,0,state governor,lawyer,stockbroker,engineer,14:45.6
3COPXFW7XBC3OYGKU5X3P4LW5JMPK4,c9736f82-9442-486d-8892-901dca38ee03,scientific and medical research,cybersecurity research,45,25,1,female,male,1,latino,white,1,nurse,union leader,1,insurance salesperson,nurse,union leader,clergy,10:42.0
3X66WABAJWIRFNFE6GFHE9Q2T7WG31,2078dcf2-17ff-4335-8d07-580f21cd02fd,scientific and medical research,cancer research,75,75,0,male,male,0,black,white,1,university professor,university professor,0,nurse,advertising practitioner,union leader,university professor,42:37.8
3LEP4MGT3G0T6Y90JJTFQ7LH3AKBD9,77d87829-6f3a-42ab-bd4e-cf33f689fb94,education,school tuition support,75,75,0,female,female,0,white,white,0,union leader,university professor,1,university professor,pharmacist,union leader,insurance salesperson,21:49.6
384PI804XS1YO0P8ITRF1PBYC5U0SU,54aa687f-a3f8-43cb-a9cd-c74e0c974961,defense,defense intelligence,75,75,0,female,male,1,latino,latino,0,stockbroker,stockbroker,0,clergy,pharmacist,state governor,stockbroker,40:39.8
3Z4XG4ZF48RO26GA77AHTCY8CIV8XM,ae3792fe-a299-43a9-8f30-02270d5a1dab,debt,national debt,25,45,1,male,male,0,latino,black,1,nurse,lawyer,1,lawyer,business executive,union leader,nurse,26:48.6
3S4AW7T80BISJBCJHLHG16NG1L5L4G,1b4a2b3e-7e99-4a81-9cdb-41dcd7edaae2,public assistance,school meals,25,25,0,female,female,0,white,white,0,advertising practitioner,doctor,1,advertising practitioner,state governor,doctor,journalist,07:28.4
